step,R_over_R0,R_metres,R_volume_over_R0,t_over_tc
9,1.026173,1.026173e-03,1.007777,983834.515907
18,1.026192,1.026192e-03,1.007777,1967669.031814
27,1.026223,1.026223e-03,1.007777,2951503.547722
36,1.026267,1.026267e-03,1.007776,3935338.063629
45,1.026322,1.026322e-03,1.007776,4919172.579536
54,1.026388,1.026388e-03,1.007775,5903007.095443
63,1.026465,1.026465e-03,1.007774,6886841.611350
72,1.026552,1.026552e-03,1.007753,7870676.127257
81,1.026648,1.026648e-03,1.007623,8854510.643165
90,1.026753,1.026753e-03,1.007390,9838345.159072
99,1.026865,1.026865e-03,1.007059,10822179.674979
108,1.026984,1.026984e-03,1.006634,11806014.190886
117,1.027108,1.027108e-03,1.006121,12789848.706793
126,1.027239,1.027239e-03,1.005525,13773683.222700
135,1.027373,1.027373e-03,1.004846,14757517.738608
144,1.027512,1.027512e-03,1.004085,15741352.254515
153,1.027653,1.027653e-03,1.003249,16725186.770422
162,1.027797,1.027797e-03,1.002336,17709021.286329
171,1.027943,1.027943e-03,1.001348,18692855.802236
180,1.028090,1.028090e-03,1.000292,19676690.318144
189,1.028237,1.028237e-03,0.999174,20660524.834051
198,1.028385,1.028385e-03,0.997995,21644359.349958
207,1.028533,1.028533e-03,0.996759,22628193.865865
216,1.028681,1.028681e-03,0.995468,23612028.381772
225,1.028827,1.028827e-03,0.994126,24595862.897679
234,1.028973,1.028973e-03,0.992733,25579697.413587
243,1.029117,1.029117e-03,0.991292,26563531.929494
252,1.029260,1.029260e-03,0.989807,27547366.445401
261,1.029402,1.029402e-03,0.988278,28531200.961308
270,1.029541,1.029541e-03,0.986706,29515035.477215
279,1.029679,1.029679e-03,0.985094,30498869.993123
288,1.029814,1.029814e-03,0.983455,31482704.509030
297,1.029948,1.029948e-03,0.981787,32466539.024937
306,1.030078,1.030078e-03,0.980084,33450373.540844
315,1.030206,1.030206e-03,0.978347,34434208.056751
324,1.030331,1.030331e-03,0.976592,35418042.572658
333,1.030453,1.030453e-03,0.974806,36401877.088566
342,1.030571,1.030571e-03,0.973000,37385711.604473
351,1.030685,1.030685e-03,0.971176,38369546.120380
