step,R_over_R0,R_metres,R_volume_over_R0,t_over_tc
360,1.030795,1.030795e-03,0.969340,39353380.636287
369,1.030899,1.030899e-03,0.967487,40337215.152194
378,1.030998,1.030998e-03,0.965606,41321049.668101
387,1.031089,1.031089e-03,0.963726,42304884.184009
396,1.031172,1.031172e-03,0.961841,43288718.699916
405,1.031246,1.031246e-03,0.959958,44272553.215823
414,1.031308,1.031308e-03,0.958070,45256387.731730
423,1.031356,1.031356e-03,0.956155,46240222.247637
432,1.031388,1.031388e-03,0.954218,47224056.763545
441,1.031401,1.031401e-03,0.952287,48207891.279452
450,1.031390,1.031390e-03,0.950349,49191725.795359
459,1.031351,1.031351e-03,0.948398,50175560.311266
468,1.031278,1.031278e-03,0.946472,51159394.827173
477,1.031163,1.031163e-03,0.944528,52143229.343080
486,1.031000,1.031000e-03,0.942596,53127063.858988
495,1.030777,1.030777e-03,0.940679,54110898.374895
504,1.030483,1.030483e-03,0.938754,55094732.890802
513,1.030106,1.030106e-03,0.936822,56078567.406709
522,1.029630,1.029630e-03,0.934897,57062401.922616
531,1.029040,1.029040e-03,0.932947,58046236.438524
540,1.028319,1.028319e-03,0.931023,59030070.954431
549,1.027451,1.027451e-03,0.929115,60013905.470338
558,1.026416,1.026416e-03,0.927198,60997739.986245
567,1.025196,1.025196e-03,0.925278,61981574.502152
576,1.023772,1.023772e-03,0.923372,62965409.018059
585,1.022129,1.022129e-03,0.921467,63949243.533967
594,1.020251,1.020251e-03,0.919566,64933078.049874
603,1.018122,1.018122e-03,0.917670,65916912.565781
612,1.015732,1.015732e-03,0.915776,66900747.081688
621,1.013079,1.013079e-03,0.913921,67884581.597595
630,1.010167,1.010167e-03,0.912085,68868416.113503
639,1.007001,1.007001e-03,0.910285,69852250.629410
648,1.003587,1.003587e-03,0.908494,70836085.145317
657,0.999936,9.999361e-04,0.906709,71819919.661224
666,0.996055,9.960545e-04,0.904919,72803754.177131
675,0.991949,9.919488e-04,0.903118,73787588.693038
684,0.987625,9.876253e-04,0.901328,74771423.208946
693,0.983090,9.830901e-04,0.899547,75755257.724853
702,0.978349,9.783492e-04,0.897777,76739092.240760
711,0.973408,9.734082e-04,0.896016,77722926.756667
720,0.968272,9.682723e-04,0.894253,78706761.272574
729,0.962947,9.629470e-04,0.892488,79690595.788481
738,0.957438,9.574378e-04,0.890762,80674430.304389
747,0.951750,9.517500e-04,0.889074,81658264.820296
756,0.945889,9.458895e-04,0.887370,82642099.336203
765,0.939863,9.398626e-04,0.885653,83625933.852110
774,0.933676,9.336764e-04,0.883947,84609768.368017
783,0.927339,9.273390e-04,0.882271,85593602.883925
792,0.920859,9.208586e-04,0.880600,86577437.399832
801,0.914244,9.142443e-04,0.878970,87561271.915739
810,0.907506,9.075057e-04,0.877337,88545106.431646
819,0.900688,9.006880e-04,0.875716,89528940.947553
828,0.898647,8.986474e-04,0.874109,90512775.463460
837,0.896777,8.967767e-04,0.872511,91496609.979368
846,0.895059,8.950586e-04,0.870903,92480444.495275
855,0.893478,8.934777e-04,0.869309,93464279.011182
864,0.892021,8.920206e-04,0.867729,94448113.527089
873,0.890675,8.906753e-04,0.866157,95431948.042996
882,0.889431,8.894314e-04,0.864583,96415782.558904
891,0.888279,8.882794e-04,0.863032,97399617.074811
900,0.887211,8.872110e-04,0.861510,98383451.590718
909,0.886219,8.862187e-04,0.859999,99367286.106625
918,0.885296,8.852960e-04,0.858471,100351120.622532
927,0.884437,8.844368e-04,0.856954,101334955.138439
936,0.883636,8.836356e-04,0.855456,102318789.654347
945,0.882888,8.828876e-04,0.853962,103302624.170254
954,0.882188,8.821883e-04,0.852457,104286458.686161
963,0.881534,8.815337e-04,0.850956,105270293.202068
972,0.880920,8.809200e-04,0.849477,106254127.717975
981,0.880344,8.803439e-04,0.848011,107237962.233882
990,0.879802,8.798022e-04,0.846533,108221796.749790
999,0.879292,8.792919e-04,0.845054,109205631.265697
1008,0.878810,8.788104e-04,0.843596,110189465.781604
1017,0.878355,8.783549e-04,0.842145,111173300.297511
1026,0.877923,8.779228e-04,0.840703,112157134.813418
1035,0.877512,8.775116e-04,0.839283,113140969.329326
1044,0.877119,8.771187e-04,0.837873,114124803.845233
1053,0.876741,8.767414e-04,0.836467,115108638.361140
1062,0.876377,8.763769e-04,0.835061,116092472.877047
1071,0.876022,8.760224e-04,0.833659,117076307.392954
1080,0.875675,8.756747e-04,0.832282,118060141.908861
1089,0.875330,8.753304e-04,0.830912,119043976.424769
1098,0.874986,8.749863e-04,0.829545,120027810.940676
1107,0.874639,8.746391e-04,0.828182,121011645.456583
1116,0.874285,8.742854e-04,0.826824,121995479.972490
1125,0.873922,8.739222e-04,0.825471,122979314.488397
1134,0.873547,8.735470e-04,0.824118,123963149.004304
1143,0.873158,8.731578e-04,0.822779,124946983.520212
1152,0.872753,8.727530e-04,0.821450,125930818.036119
1161,0.872332,8.723319e-04,0.820114,126914652.552026
1170,0.871894,8.718944e-04,0.818786,127898487.067933
1179,0.871441,8.714410e-04,0.817430,128882321.583840
1188,0.870972,8.709725e-04,0.816083,129866156.099748
1197,0.870490,8.704898e-04,0.814744,130849990.615655
1206,0.869994,8.699941e-04,0.813425,131833825.131562
1215,0.869486,8.694864e-04,0.812123,132817659.647469
1224,0.868968,8.689675e-04,0.810828,133801494.163376
1233,0.868438,8.684382e-04,0.809555,134785328.679283
1242,0.867899,8.678992e-04,0.808288,135769163.195191
1251,0.867351,8.673510e-04,0.807004,136752997.711098
1260,0.866794,8.667943e-04,0.805727,137736832.227005
1269,0.866230,8.662296e-04,0.804461,138720666.742912
1278,0.865658,8.656575e-04,0.803202,139704501.258819
1287,0.865079,8.650786e-04,0.801941,140688335.774727
1296,0.864493,8.644932e-04,0.800676,141672170.290634
1305,0.863902,8.639018e-04,0.799416,142656004.806541
1314,0.863305,8.633046e-04,0.798167,143639839.322448
1323,0.862702,8.627021e-04,0.796937,144623673.838355
1332,0.862095,8.620945e-04,0.795725,145607508.354262
1341,0.861482,8.614820e-04,0.794520,146591342.870170
1350,0.860865,8.608646e-04,0.793314,147575177.386077
1359,0.860242,8.602424e-04,0.792098,148559011.901984
1368,0.859615,8.596152e-04,0.790902,149542846.417891
1377,0.858983,8.589831e-04,0.789733,150526680.933798
1386,0.858346,8.583458e-04,0.788563,151510515.449705
1395,0.857703,8.577033e-04,0.787396,152494349.965613
1404,0.857055,8.570555e-04,0.786227,153478184.481520
1413,0.856402,8.564021e-04,0.785058,154462018.997427
1422,0.855743,8.557431e-04,0.783903,155445853.513334
1431,0.855078,8.550783e-04,0.782758,156429688.029241
1440,0.854408,8.544076e-04,0.781619,157413522.545149
1449,0.853731,8.537306e-04,0.780491,158397357.061056
1458,0.853047,8.530473e-04,0.779371,159381191.576963
1467,0.852357,8.523575e-04,0.778258,160365026.092870
1476,0.851661,8.516609e-04,0.777149,161348860.608777
1485,0.850958,8.509576e-04,0.776052,162332695.124684
1494,0.850247,8.502473e-04,0.774947,163316529.640592
1503,0.849530,8.495300e-04,0.773836,164300364.156499
1512,0.848806,8.488056e-04,0.772732,165284198.672406
1521,0.848074,8.480741e-04,0.771636,166268033.188313
1530,0.847335,8.473354e-04,0.770555,167251867.704220
1539,0.846589,8.465895e-04,0.769496,168235702.220128
1548,0.845836,8.458364e-04,0.768457,169219536.736035
1557,0.845076,8.450761e-04,0.767415,170203371.251942
1566,0.844309,8.443087e-04,0.766389,171187205.767849
1575,0.843534,8.435342e-04,0.765380,172171040.283756
1584,0.842753,8.427527e-04,0.764383,173154874.799663
1593,0.841964,8.419643e-04,0.763392,174138709.315571
1602,0.841169,8.411690e-04,0.762404,175122543.831478
1611,0.840367,8.403669e-04,0.761429,176106378.347385
1620,0.839558,8.395583e-04,0.760464,177090212.863292
1629,0.838743,8.387431e-04,0.759520,178074047.379199
1638,0.837921,8.379215e-04,0.758602,179057881.895106
1647,0.837094,8.370936e-04,0.757690,180041716.411014
1656,0.836260,8.362597e-04,0.756783,181025550.926921
1665,0.835420,8.354197e-04,0.755891,182009385.442828
1674,0.834574,8.345740e-04,0.755020,182993219.958735
1683,0.833723,8.337226e-04,0.754169,183977054.474642
1692,0.832866,8.328657e-04,0.753341,184960888.990550
1701,0.832003,8.320034e-04,0.752528,185944723.506457
1710,0.831136,8.311360e-04,0.751738,186928558.022364
1719,0.830264,8.302636e-04,0.750965,187912392.538271
1728,0.829387,8.293865e-04,0.750213,188896227.054178
1737,0.828505,8.285049e-04,0.749486,189880061.570085
1746,0.827619,8.276189e-04,0.748783,190863896.085993
1755,0.826729,8.267288e-04,0.748111,191847730.601900
1764,0.825835,8.258350e-04,0.747468,192831565.117807
1773,0.824938,8.249376e-04,0.746845,193815399.633714
1782,0.824037,8.240370e-04,0.746244,194799234.149621
1791,0.823133,8.231334e-04,0.745652,195783068.665529
1800,0.822227,8.222272e-04,0.745072,196766903.181436
1809,0.821319,8.213187e-04,0.744508,197750737.697343
1818,0.820408,8.204082e-04,0.743969,198734572.213250
1827,0.819496,8.194960e-04,0.743460,199718406.729157
1836,0.818582,8.185824e-04,0.742990,200702241.245064
1845,0.817668,8.176677e-04,0.742568,201686075.760972
1854,0.816752,8.167522e-04,0.742204,202669910.276879
1855,0.816651,8.166505e-04,0.742168,202779225.223091
