step,R_over_R0,R_metres,R_volume_over_R0,t_over_tc
46,1.022391,1.022391e-03,1.003977,5028487.525748
92,1.022572,1.022572e-03,1.003679,10056975.051496
138,1.022827,1.022827e-03,1.001781,15085462.577243
184,1.023113,1.023113e-03,0.998438,20113950.102991
230,1.023394,1.023394e-03,0.993948,25142437.628739
276,1.023647,1.023647e-03,0.988567,30170925.154487
322,1.023843,1.023843e-03,0.982533,35199412.680235
368,1.023930,1.023930e-03,0.976014,40227900.205982
414,1.023774,1.023774e-03,0.969229,45256387.731730
460,1.023047,1.023047e-03,0.962237,50284875.257478
506,1.021014,1.021014e-03,0.955169,55313362.783226
552,1.016366,1.016366e-03,0.948093,60341850.308974
598,1.007403,1.007403e-03,0.941120,65370337.834721
644,0.993084,9.930841e-04,0.934243,70398825.360469
690,0.973555,9.735547e-04,0.927534,75427312.886217
736,0.949330,9.493299e-04,0.920934,80455800.411965
782,0.936274,9.362742e-04,0.914472,85484287.937713
828,0.930053,9.300527e-04,0.908239,90512775.463460
874,0.925956,9.259557e-04,0.902136,95541262.989208
920,0.923160,9.231602e-04,0.896128,100569750.514956
966,0.921182,9.211822e-04,0.890248,105598238.040704
1012,0.919720,9.197204e-04,0.884500,110626725.566452
1058,0.918561,9.185611e-04,0.878844,115655213.092199
1104,0.917502,9.175024e-04,0.873270,120683700.617947
1150,0.916291,9.162914e-04,0.867772,125712188.143695
1196,0.914666,9.146660e-04,0.862265,130740675.669443
1242,0.912525,9.125251e-04,0.856896,135769163.195191
1288,0.909931,9.099310e-04,0.851582,140797650.720938
1334,0.906951,9.069506e-04,0.846301,145826138.246686
1380,0.903622,9.036215e-04,0.841081,150854625.772434
1426,0.899962,8.999617e-04,0.835934,155883113.298182
1472,0.895966,8.959658e-04,0.830885,160911600.823930
1518,0.891602,8.916016e-04,0.825971,165940088.349677
1564,0.886817,8.868170e-04,0.821214,170968575.875425
1610,0.881552,8.815517e-04,0.816531,175997063.401173
1656,0.875747,8.757468e-04,0.811928,181025550.926921
1702,0.869348,8.693481e-04,0.807519,186054038.452669
1748,0.862306,8.623065e-04,0.803291,191082525.978416
1794,0.854580,8.545805e-04,0.799190,196111013.504164
1840,0.846139,8.461390e-04,0.795235,201139501.029912
1886,0.836966,8.369661e-04,0.791487,206167988.555660
1932,0.827066,8.270660e-04,0.787919,211196476.081408
