step,R_over_R0,R_metres,R_volume_over_R0,t_over_tc
309,1.017697,1.017697e-03,0.983949,33778318.379480
312,1.015566,1.015566e-03,0.982860,34106263.218116
315,1.013393,1.013393e-03,0.981767,34434208.056751
318,1.011178,1.011178e-03,0.980675,34762152.895387
321,1.008922,1.008922e-03,0.979584,35090097.734023
324,1.006625,1.006625e-03,0.978496,35418042.572658
327,1.004289,1.004289e-03,0.977409,35745987.411294
330,1.001913,1.001913e-03,0.976326,36073932.249930
333,0.999501,9.995007e-04,0.975245,36401877.088566
336,0.997051,9.970512e-04,0.974168,36729821.927201
339,0.994566,9.945660e-04,0.973094,37057766.765837
342,0.992046,9.920463e-04,0.972025,37385711.604473
345,0.989493,9.894932e-04,0.970928,37713656.443109
348,0.986908,9.869078e-04,0.969807,38041601.281744
351,0.984291,9.842914e-04,0.968691,38369546.120380
354,0.981645,9.816451e-04,0.967579,38697490.959016
357,0.978970,9.789702e-04,0.966472,39025435.797651
360,0.976268,9.762679e-04,0.965371,39353380.636287
363,0.973539,9.735395e-04,0.964274,39681325.474923
366,0.970786,9.707862e-04,0.963184,40009270.313559
369,0.968009,9.680094e-04,0.962100,40337215.152194
372,0.965210,9.652103e-04,0.961022,40665159.990830
375,0.963738,9.637375e-04,0.959950,40993104.829466
378,0.962754,9.627543e-04,0.958869,41321049.668101
381,0.961801,9.618008e-04,0.957773,41648994.506737
384,0.960876,9.608761e-04,0.956674,41976939.345373
387,0.959979,9.599795e-04,0.955583,42304884.184009
390,0.959110,9.591101e-04,0.954500,42632829.022644
393,0.958267,9.582672e-04,0.953424,42960773.861280
396,0.957450,9.574499e-04,0.952357,43288718.699916
399,0.956657,9.566574e-04,0.951297,43616663.538552
402,0.955889,9.558891e-04,0.950245,43944608.377187
405,0.955144,9.551441e-04,0.949201,44272553.215823
408,0.954422,9.544217e-04,0.948166,44600498.054459
411,0.953721,9.537212e-04,0.947111,44928442.893094
414,0.953042,9.530418e-04,0.946030,45256387.731730
417,0.952383,9.523828e-04,0.944950,45584332.570366
420,0.951744,9.517436e-04,0.943880,45912277.409002
423,0.951123,9.511234e-04,0.942818,46240222.247637
426,0.950522,9.505217e-04,0.941766,46568167.086273
429,0.949938,9.499377e-04,0.940723,46896111.924909
432,0.949371,9.493708e-04,0.939689,47224056.763545
435,0.948820,9.488203e-04,0.938665,47552001.602180
438,0.948286,9.482857e-04,0.937650,47879946.440816
441,0.947766,9.477664e-04,0.936644,48207891.279452
444,0.947262,9.472617e-04,0.935647,48535836.118087
447,0.946771,9.467712e-04,0.934638,48863780.956723
450,0.946294,9.462941e-04,0.933589,49191725.795359
453,0.945830,9.458300e-04,0.932550,49519670.633995
456,0.945378,9.453783e-04,0.931521,49847615.472630
459,0.944939,9.449385e-04,0.930502,50175560.311266
462,0.944510,9.445101e-04,0.929492,50503505.149902
465,0.944092,9.440924e-04,0.928492,50831449.988538
468,0.943685,9.436851e-04,0.927502,51159394.827173
471,0.943288,9.432875e-04,0.926521,51487339.665809
474,0.942899,9.428992e-04,0.925549,51815284.504445
477,0.942520,9.425197e-04,0.924587,52143229.343080
480,0.942148,9.421484e-04,0.923634,52471174.181716
483,0.941785,9.417849e-04,0.922689,52799119.020352
486,0.941429,9.414286e-04,0.921740,53127063.858988
489,0.941079,9.410791e-04,0.920786,53455008.697623
492,0.940736,9.407358e-04,0.919835,53782953.536259
495,0.940398,9.403982e-04,0.918894,54110898.374895
498,0.940066,9.400659e-04,0.917962,54438843.213531
501,0.939738,9.397383e-04,0.917039,54766788.052166
504,0.939415,9.394148e-04,0.916125,55094732.890802
507,0.939095,9.390950e-04,0.915219,55422677.729438
510,0.938778,9.387785e-04,0.914323,55750622.568073
513,0.938465,9.384647e-04,0.913435,56078567.406709
516,0.938153,9.381531e-04,0.912556,56406512.245345
519,0.937843,9.378433e-04,0.911685,56734457.083981
522,0.937535,9.375348e-04,0.910811,57062401.922616
525,0.937227,9.372270e-04,0.909889,57390346.761252
528,0.936920,9.369196e-04,0.908976,57718291.599888
531,0.936612,9.366119e-04,0.908073,58046236.438524
534,0.936303,9.363035e-04,0.907172,58374181.277159
537,0.935994,9.359939e-04,0.906275,58702126.115795
540,0.935683,9.356827e-04,0.905386,59030070.954431
543,0.935370,9.353697e-04,0.904506,59358015.793066
546,0.935054,9.350543e-04,0.903635,59685960.631702
549,0.934737,9.347365e-04,0.902773,60013905.470338
552,0.934416,9.344160e-04,0.901919,60341850.308974
555,0.934093,9.340929e-04,0.901074,60669795.147609
558,0.933767,9.337669e-04,0.900238,60997739.986245
561,0.933438,9.334381e-04,0.899411,61325684.824881
564,0.933106,9.331063e-04,0.898579,61653629.663517
567,0.932771,9.327713e-04,0.897730,61981574.502152
570,0.932433,9.324333e-04,0.896885,62309519.340788
573,0.932092,9.320920e-04,0.896040,62637464.179424
576,0.931748,9.317475e-04,0.895191,62965409.018059
579,0.931400,9.313999e-04,0.894349,63293353.856695
582,0.931049,9.310495e-04,0.893516,63621298.695331
585,0.930696,9.306962e-04,0.892692,63949243.533967
588,0.930340,9.303405e-04,0.891877,64277188.372602
591,0.929982,9.299822e-04,0.891070,64605133.211238
594,0.929622,9.296216e-04,0.890272,64933078.049874
597,0.929259,9.292589e-04,0.889482,65261022.888510
600,0.928894,9.288944e-04,0.888701,65588967.727145
603,0.928528,9.285283e-04,0.887929,65916912.565781
606,0.928161,9.281609e-04,0.887164,66244857.404417
609,0.927792,9.277922e-04,0.886408,66572802.243052
612,0.927423,9.274226e-04,0.885659,66900747.081688
615,0.927052,9.270522e-04,0.884918,67228691.920324
618,0.926681,9.266810e-04,0.884184,67556636.758960
621,0.926309,9.263091e-04,0.883459,67884581.597595
624,0.925937,9.259367e-04,0.882741,68212526.436231
627,0.925564,9.255638e-04,0.882029,68540471.274867
630,0.925191,9.251908e-04,0.881317,68868416.113503
633,0.924818,9.248178e-04,0.880612,69196360.952138
636,0.924445,9.244452e-04,0.879914,69524305.790774
639,0.924073,9.240735e-04,0.879223,69852250.629410
642,0.923703,9.237027e-04,0.878540,70180195.468045
645,0.923333,9.233335e-04,0.877864,70508140.306681
648,0.922966,9.229661e-04,0.877194,70836085.145317
651,0.922601,9.226009e-04,0.876532,71164029.983953
654,0.922238,9.222383e-04,0.875876,71491974.822588
657,0.921879,9.218785e-04,0.875228,71819919.661224
660,0.921522,9.215219e-04,0.874586,72147864.499860
663,0.921169,9.211688e-04,0.873951,72475809.338495
666,0.920819,9.208193e-04,0.873323,72803754.177131
669,0.920474,9.204737e-04,0.872702,73131699.015767
672,0.920133,9.201326e-04,0.872088,73459643.854403
675,0.919796,9.197962e-04,0.871480,73787588.693038
678,0.919465,9.194650e-04,0.870879,74115533.531674
681,0.919139,9.191393e-04,0.870285,74443478.370310
684,0.918819,9.188194e-04,0.869696,74771423.208946
687,0.918506,9.185056e-04,0.869114,75099368.047581
690,0.918199,9.181987e-04,0.868539,75427312.886217
693,0.917899,9.178993e-04,0.867969,75755257.724853
696,0.917608,9.176079e-04,0.867406,76083202.563488
699,0.917325,9.173249e-04,0.866841,76411147.402124
702,0.917050,9.170502e-04,0.866276,76739092.240760
705,0.916783,9.167835e-04,0.865718,77067037.079396
708,0.916526,9.165258e-04,0.865167,77394981.918031
711,0.916279,9.162787e-04,0.864622,77722926.756667
714,0.916045,9.160447e-04,0.864083,78050871.595303
717,0.915826,9.158264e-04,0.863550,78378816.433939
720,0.915626,9.156264e-04,0.863024,78706761.272574
723,0.915448,9.154475e-04,0.862505,79034706.111210
726,0.915293,9.152927e-04,0.861991,79362650.949846
729,0.915165,9.151650e-04,0.861484,79690595.788481
731,0.915096,9.150961e-04,0.861150,79909225.680905
